date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:28	18331/18331	---M-Z	200	added ('OK')	text/html	etag:W/%2261e190b0-479b%22	https://docs.sympy.org/latest/index.html	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/index.html	(from )
11:22:29	320/320	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2261e190b0-1e5%22	https://docs.sympy.org/robots.txt		(from )
11:22:29	4919/4919	---M-Z	200	added ('OK')	text/css	etag:W/%2261e190b0-1337%22	https://docs.sympy.org/latest/_static/pygments.css	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/_static/pygments.css	(from https://docs.sympy.org/latest/index.html)
11:22:29	4916/4916	---M-Z	200	added ('OK')	text/css	etag:W/%2261e190b0-1334%22	https://docs.sympy.org/latest/_static/default.css	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/_static/default.css	(from https://docs.sympy.org/latest/index.html)
11:22:29	318/318	---M-Z	200	added ('OK')	text/css	etag:W/%2261e190b0-13e%22	https://docs.sympy.org/latest/_static/graphviz.css	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/_static/graphviz.css	(from https://docs.sympy.org/latest/index.html)
11:22:29	334/334	---M-Z	200	added ('OK')	text/css	etag:W/%2261e190b0-14e%22	https://docs.sympy.org/latest/_static/plot_directive.css	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/_static/plot_directive.css	(from https://docs.sympy.org/latest/index.html)
11:22:31	19535/19535	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261e190b0-4c4f%22	https://docs.sympy.org/latest/_static/underscore.js	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/_static/underscore.js	(from https://docs.sympy.org/latest/index.html)
11:22:31	9953/9953	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261e190b0-26e1%22	https://docs.sympy.org/latest/_static/doctools.js	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/_static/doctools.js	(from https://docs.sympy.org/latest/index.html)
11:22:33	4673/4673	---M-Z	200	added ('OK')	text/html	etag:W/%2261e190b1-1241%22	https://docs.sympy.org/latest/search.html	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/search.html	(from https://docs.sympy.org/latest/index.html)
11:22:34	14935/14935	---M-Z	200	added ('OK')	text/html	etag:W/%2261e190b0-3a57%22	https://docs.sympy.org/latest/install.html	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/install.html	(from https://docs.sympy.org/latest/index.html)
11:22:34	68131/68131	---M-Z	200	added ('OK')	text/html	etag:W/%2261e190b1-10a23%22	https://docs.sympy.org/latest/py-modindex.html	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/py-modindex.html	(from https://docs.sympy.org/latest/index.html)
11:22:34	12520/12520	---M-Z	200	added ('OK')	text/html	etag:W/%2261e190b1-30e8%22	https://docs.sympy.org/latest/tutorial/index.html	D:/Sympy%20Tutorial/Sympy%20Documentation/docs.sympy.org/latest/tutorial/index.html	(from https://docs.sympy.org/latest/index.html)
